drugbank-id1,drugbank-id2
DB00002,DB11746
DB00002,DB14004
DB00006,DB06713
DB00005,DB00056
DB00005,DB07615
DB00006,DB00859
DB00005,DB14009
DB00001,DB00780
DB00006,DB13314
DB00006,DB06287
DB00006,DB01149
DB00005,DB00448
DB00005,DB00266
DB00006,DB00389
DB00006,DB00795
DB00002,DB12102
DB00005,DB00075
DB00005,DB00187
DB00001,DB09030
DB00001,DB00605
DB00005,DB00936
DB00005,DB01472
DB00006,DB00285
DB00006,DB00305
DB00005,DB01412
DB00001,DB07637
DB00002,DB11646
DB00005,DB15233
DB00002,DB01269
DB00005,DB13449
DB00005,DB05260
DB00001,DB00861
DB00005,DB09073
DB00005,DB09039
DB00001,DB14679
DB00005,DB00515
DB00005,DB00022
DB00005,DB09036
DB00001,DB00834
DB00006,DB08877
DB00001,DB06789
DB00002,DB14864
DB00005,DB12927
DB00005,DB09555
DB00001,DB01088
DB00005,DB09057
DB00005,DB01418
DB00006,DB13400
DB00001,DB00456
DB00006,DB00469
DB00001,DB01783
DB00006,DB00488
DB00001,DB08953
DB00001,DB06266
DB00005,DB01221
DB00005,DB00788
DB00006,DB01037
DB00005,DB01429
DB00001,DB07447
DB00006,DB00396
DB00005,DB13136
DB00002,DB14778
DB00005,DB08889
DB00006,DB06251
DB00005,DB00203
DB00006,DB05109
DB00001,DB00864
DB00006,DB00054
DB00001,DB01485
DB00005,DB00402
DB00001,DB09241
DB00001,DB11372
DB00002,DB05097
DB00005,DB00629
DB00006,DB13657
DB00002,DB06305
DB00002,DB12701
DB00002,DB05656
DB00001,DB00278
DB00001,DB00447
DB00001,DB13432
DB00005,DB00441
DB00005,DB02806
DB00006,DB13148
DB00002,DB08870
DB00005,DB00557
DB00006,DB06081
DB00001,DB09285
DB00006,DB01073
DB00005,DB00295
DB00001,DB03585
DB00006,DB09222
DB00005,DB13208
DB00006,DB00531
DB00005,DB06674
DB00002,DB05996
DB00002,DB13953
DB00001,DB01262
DB00001,DB09418
DB00005,DB00749
DB00006,DB12545
DB00005,DB06727
DB00001,DB00712
DB00005,DB09063
DB00005,DB14539
DB00006,DB04832
DB00006,DB06754
DB00001,DB00880
DB00005,DB00656
DB00001,DB00029
DB00005,DB11737
DB00005,DB00414
DB00005,DB00859
DB00001,DB01021
DB00005,DB00687
DB00006,DB09252
DB00006,DB08797
DB00001,DB06271
DB00005,DB06287
DB00002,DB15172
DB00006,DB09283
DB00001,DB01333
DB00001,DB02659
DB00001,DB14094
DB00005,DB00795
DB00006,DB00031
DB00006,DB00493
DB00001,DB05099
DB00002,DB09381
DB00005,DB13775
DB00005,DB00285
DB00005,DB09091
DB00005,DB00305
DB00001,DB01431
DB00006,DB00498
DB00002,DB06366
DB00005,DB00201
DB00005,DB00673
DB00005,DB08877
DB00006,DB13197
DB00005,DB09173
DB00006,DB09079
DB00001,DB00642
DB00002,DB15022
DB00001,DB11622
DB00005,DB14541
DB00005,DB01394
DB00005,DB01071
DB00005,DB10600
DB00005,DB00983
DB00006,DB09317
DB00002,DB11771
DB00001,DB08935
DB00001,DB06731
DB00005,DB00471
DB00001,DB13612
DB00001,DB00758
DB00001,DB11674
DB00001,DB14678
DB00001,DB01413
DB00006,DB09075
DB00006,DB00182
DB00002,DB00286
DB00002,DB09302
DB00005,DB01037
DB00002,DB12240
DB00005,DB00396
DB00005,DB01233
DB00005,DB08860
DB00001,DB00570
DB00005,DB12887
DB00006,DB00655
DB00005,DB08896
DB00005,DB05109
DB00001,DB11330
DB00006,DB02224
DB00006,DB13151
DB00001,DB04865
DB00006,DB00689
DB00005,DB00268
DB00001,DB08976
DB00002,DB11731
DB00001,DB01177
DB00001,DB04573
DB00002,DB15898
DB00005,DB00835
DB00005,DB01228
DB00002,DB12849
DB00006,DB04817
DB00001,DB13685
DB00005,DB00477
DB00001,DB09371
DB00006,DB13461
DB00005,DB00074
DB00002,DB00112
DB00005,DB04829
DB00006,DB07402
DB00006,DB00461
DB00005,DB09102
DB00005,DB01056
DB00005,DB11718
DB00001,DB13124
DB00005,DB00737
DB00005,DB06728
DB00005,DB01667
DB00005,DB08931
DB00005,DB00470
DB00001,DB14006
DB00005,DB01073
DB00001,DB13958
DB00005,DB05676
DB00002,DB09318
DB00001,DB01033
DB00002,DB15253
DB00005,DB12945
DB00005,DB00531
DB00005,DB00959
DB00001,DB01236
DB00006,DB08994
DB00001,DB08942
DB00002,DB11680
DB00002,DB14040
DB00006,DB13944
DB00005,DB00394
DB00006,DB09389
DB00006,DB13504
DB00005,DB12930
DB00006,DB11518
DB00006,DB13783
DB00005,DB04920
DB00005,DB06235
DB00001,DB13629
DB00001,DB06294
DB00006,DB01942
DB00005,DB08820
DB00001,DB00853
DB00005,DB06789
DB00001,DB01171
DB00006,DB14938
DB00001,DB13527
DB00001,DB14473
DB00005,DB12902
DB00006,DB09255
DB00005,DB00317
DB00005,DB00095
DB00005,DB11776
DB00001,DB04884
DB00006,DB12364
DB00005,DB00344
DB00002,DB00108
DB00005,DB04841
DB00005,DB01242
DB00001,DB11619
DB00001,DB06590
DB00006,DB04932
DB00006,DB00997
DB00005,DB00949
DB00005,DB09079
DB00006,DB08984
DB00002,DB15559
DB00005,DB03523
DB00005,DB08808
DB00002,DB11756
DB00002,DB11826
DB00005,DB10794
DB00001,DB05773
DB00001,DB12814
DB00001,DB13682
DB00005,DB00182
DB00005,DB09065
DB00002,DB05578
DB00006,DB14570
DB00006,DB09125
DB00006,DB00694
DB00005,DB00655
DB00001,DB00069
DB00005,DB12147
DB00002,DB15101
DB00006,DB01009
DB00006,DB12465
DB00006,DB02546
DB00006,DB08857
DB00005,DB01262
DB00006,DB00686
DB00005,DB02134
DB00006,DB09258
DB00006,DB13217
DB00006,DB00682
DB00001,DB00258
DB00002,DB15160
DB00005,DB09256
DB00006,DB00267
DB00005,DB01198
DB00005,DB11921
DB00005,DB00461
DB00005,DB00865
DB00006,DB01397
DB00001,DB09254
DB00005,DB06292
DB00005,DB00701
DB00005,DB12612
DB00005,DB00591
DB00002,DB12213
DB00005,DB12531
DB00006,DB05229
DB00001,DB00552
DB00001,DB11935
DB00005,DB00204
DB00001,DB06736
DB00005,DB06712
DB00001,DB01042
DB00005,DB06738
DB00005,DB00731
DB00002,DB12396
